# Satellite parameters in the following order from left to right:
# Satellite ID, components of initial position (X, Y, Z) in meters, components of initial velocity (U, V, W) in meters per second
0080,-4.41942574668439e+06, 5.26067700705802e+06, 0.00000000000000e+00,-5.83587889057137e+03,-4.89170707161099e+03, 0.00000000000000e+00
0081,-4.37882654096474e+06, 5.21389712845893e+06,-9.20466429898287e+05,-5.66038406181882e+03,-4.95282688979967e+03,-1.18986067625498e+03
0082,-4.26278578670149e+06, 5.07454292112694e+06,-1.81216617991421e+06,-5.18108012274032e+03,-5.12749486786585e+03,-2.20254515325317e+03
0083,-3.96120434794283e+06, 4.98875198196365e+06,-2.57414662690011e+06,-4.64112745581650e+03,-5.22984713223848e+03,-3.01598744624420e+03
0084,-3.85821820515757e+06, 4.52966983783271e+06,-3.43557883823155e+06,-3.75392396220042e+03,-5.72009699296970e+03,-3.34270926087741e+03
0085,-3.58163831289083e+06, 4.15631237253607e+06,-4.13571968817481e+06,-3.01994648375375e+03,-6.05843473274568e+03,-3.48713383066698e+03
0086,-3.34497114026554e+06, 3.52075563029479e+06,-4.86052757670699e+06,-2.21606422708515e+03,-6.53468671070015e+03,-3.22012981153739e+03
0087,-2.43741663556783e+06, 3.45669406996207e+06,-5.41405083862900e+06,-1.57587230687819e+03,-6.57690678288060e+03,-3.50036701158335e+03
0088,-2.16173368536997e+06, 2.66824993586492e+06,-5.95074232283351e+06,-1.01241553922317e+03,-7.01404230593472e+03,-2.78694088838169e+03
0089,-1.82574509523468e+06, 1.96764952193245e+06,-6.32456653323226e+06,-6.07079350043655e+02,-7.29358041246740e+03,-2.10298455700300e+03
0090,-7.44340378590448e+05, 1.23641079826978e+06,-6.71672614198760e+06,-7.57166756688804e+03,-1.47858618196059e+02, 8.03232912188608e+02
0091,-6.17437115811381e+05, 6.20220039298798e+05,-6.81388729466162e+06, 7.58418218100493e+03, 6.28083266463531e+01,-6.90027460928845e+02
0092,-1.83797317253768e+05, 6.22538674484898e+05, 6.83936038136388e+06,-7.61277503603077e+03,-1.84684982446550e+01,-2.02899386616103e+02
0093,-7.06601435775703e+05, 1.23713206224947e+06, 6.72064436450268e+06, 7.57522218329968e+03, 1.41805084739182e+02, 7.70347461432156e+02
